Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
25/11/2020 14:27:14,29,Male,Berlin,Backend Developer,5,1,Senior,Java,"Java / Scala, SQL, AWS, Kubernetes, Docker",70000,0,,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,700
25/11/2020 14:32:04,23,Male,Berlin,Backend Developer,3,1,Middle,Java,,80000,100000,,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,400
25/11/2020 14:34:19,25,Male,Berlin,ML Engineer,4.5,2,Middle,"Spark, Pytorch",Python,75000,15000,,,30,Full-time employee,Unlimited contract,English,11-50,Startup,No,0,0
25/11/2020 14:35:03,34,Male,Berlin,QA Engineer,10,5,Lead,Java,"Javascript / Typescript, SQL, AWS, Docker",85000,,73000,,30,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
25/11/2020 14:37:06,45,Male,Berlin,Backend Developer,30,1,Senior,PHP,"Javascript / Typescript, Go, AWS, Google Cloud, Docker",55000,0,55000,0,24,Full-time employee,Unlimited contract,English,11-50,Startup,No,26,0
25/11/2020 14:37:07,37,Male,Berlin,Embedded Software Engineer,15,1,Senior,C/C++,"Python, C/C++",78000,0,78000,0,28,Full-time employee,Unlimited contract,English,1000+,Product,No,0,
25/11/2020 14:37:25,31,Male,Berlin,Software Engineer,9,5,Lead,javascript,"AWS, Docker",99000,99000,89000,89000,30,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
25/11/2020 14:48:38,32,Male,Amsterdam,Backend Developer,15,0,Senior,Golang,"Python, Javascript / Typescript, SQL, AWS, Kubernetes, Docker",90000,0,90000,0,25,Full-time employee,Unlimited contract,English,11-50,Product,No,0,0
25/11/2020 14:53:46,45,Female,Berlin,Product Manager,15,7,Lead,Java,,52000,,52000,,28,Full-time employee,Unlimited contract,English,11-50,Product,No,2,No
25/11/2020 14:55:16,42,Male,Wroclaw,Software Engineer,16,,Senior,java/scala/go/clouds/devops,"Java / Scala, Go, AWS, Google Cloud, Kubernetes, Docker",36000,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25/11/2020 14:56:08,23,Male,Berlin,Dana Analyst,4,4 month,Middle,,"Python, SQL",45000,0,,,26,Full-time employee,Unlimited contract,English,11-50,Product,No,,
25/11/2020 14:56:36,36,Male,Berlin,Backend Developer,14,12,Middle,JS,Docker,75000,0,73500,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
25/11/2020 14:57:52,40,Male,Karlsruhe,Team Manager,20,6,Lead,C#,"Python, .NET, Azure, Kubernetes, Docker",85000,15000,80000,10000,30,Full-time employee,Unlimited contract,English,1000+,Enterprise,No,0,300
25/11/2020 14:58:22,28,Male,Berlin,Backend Developer,7,3,Senior,Java,"Ruby, Go, Perl",95000,40000,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
25/11/2020 14:58:40,35,Male,Frankfurt,Backend Developer,15,15,Senior,C,"Python, Javascript / Typescript, SQL, Docker",63000,7000,63000,0,30,Full-time employee,Unlimited contract,German,51-100,Product,No,0,0
25/11/2020 15:03:27,37,Male,Berlin,Backend Developer,12,3,Senior,Java,"Javascript / Typescript, Java / Scala, Google Cloud, Docker",102000,,78000,,30,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,400
25/11/2020 15:03:59,33,Male,Berlin,Software Engineer,10,6,Lead,C/C++,C/C++,95000,15000,75000,10000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,32,0
25/11/2020 15:05:30,33,Male,Berlin,Backend Developer,13,5,Senior,Java,"Java / Scala, SQL, Kubernetes, Docker",78600,,78600,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,32,0
25/11/2020 15:11:46,31,Male,Munich,Software Engineer,10,4,Lead,Java ,"Python, Javascript / Typescript, AWS, Docker",70000,77000,,64000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,1500
25/11/2020 15:16:59,31,Male,Berlin,Software Engineer,4,2,Middle,Java,"Kotlin, Javascript / Typescript, Docker",67000,70500,50000,55000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,0,0
25/11/2020 15:27:18,28,Male,Wolfsburg,Software Engineer,3,1,Middle,Java,SQL,42000,,42000,800,30,Full-time employee,Unlimited contract,English,101-1000,Consulting / Agency,No,,1000
25/11/2020 15:51:41,31,Male,Boeblingen,QA Engineer,6,3,Senior,Python,"Python, Squish",53000,0,53000,0,30,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,0,0
25/11/2020 15:53:21,40,Male,Cupertino,Software Engineer,20,0,Lead,Swift,,250000,450000,230000,300000,45,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25/11/2020 16:06:56,25,Female,Frankfurt,Software Engineer,3,2,Middle,Java,"Javascript / Typescript, SQL",53000,5000,48000,2004,30,Full-time employee,Unlimited contract,German,1000+,Product,No,,550
25/11/2020 16:08:01,35,Male,Berlin,Data Analyst,9,9,Senior,Python,"Python, SQL, AWS, Kubernetes, Docker",77000,0,70000,0,28,Full-time employee,Unlimited contract,German,101-1000,Startup,No,,
25/11/2020 16:08:21,35,Male,Berlin,Software Engineer,15,10,Senior,.net,"C/C++, .NET, Go, Docker",80000,80000,67000,67000,30,Full-time employee,Unlimited contract,English,11-50,Consulting / Agency,No,24,0
25/11/2020 16:10:29,41,Male,Berlin,DevOps,20,14,Senior,"Linux/UNIX, GIT, Virtualisation Platforms, *shell(s) scripts","Python, Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker",58800,20700,56400,17000,35,Full-time employee,Unlimited contract,German,1000+,Bloody enterprise,No,,
25/11/2020 16:16:23,33,Male,Berlin,DevOps,8,3,Senior,AWS,"Python, AWS, Kubernetes, Docker",75000,1000,72500,0,30,Full-time employee,Unlimited contract,English,1000+,service,No,0,500
25/11/2020 16:17:02,33,Male,Berlin,Data Engineer,13,3,Senior,Python,"Python, Java / Scala, SQL, AWS, Kubernetes, Docker",85000,5000,75000,75000,26,Full-time employee,Unlimited contract,English,101-1000,Startup,No,20,500
25/11/2020 16:26:38,38,Male,Munich,Software Engineer,15,2,Senior,Java,"Java / Scala, Kubernetes, Docker",70000,75000,70000,75000,26,Full-time employee,Unlimited contract,English,11-50,Product,No,,
25/11/2020 16:39:24,35,Male,Berlin,Software Engineer,10,6,Senior,php,"Python, PHP, Javascript / Typescript, SQL",78000,78000,78000,78000,27,Full-time employee,Unlimited contract,German,up to 10,Product,No,,0
25/11/2020 16:42:43,36,Female,Berlin,Data Scientist,5,5,Senior,Python,"Python, Java / Scala, SQL, AWS",75000,0,75000,0,28,Part-time employee,Unlimited contract,English,51-100,Startup,No,,
25/11/2020 16:50:22,49,Male,Munich,Software Engineer,27,19,Senior,Java,"Javascript / Typescript, Java / Scala, SQL, Docker, Groovy",57000,0,57000,0,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,
25/11/2020 17:00:00,32,Male,Berlin,Software Engineer,10,7,Lead,TypeScript,Javascript / Typescript,120000,0,90000,0,0,Self-employed (freelancer),Temporary contract,Deuglisch,1000+,Concern,Yes,0,yes
25/11/2020 17:02:13,32,Female,Berlin,Software Engineer,6,4,Lead,Java,"Python, Kotlin, AWS, Docker",75000,,75000,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,30,
25/11/2020 17:06:04,27,Female,Berlin,Data Analyst ,1,1,Middle,"Python, SQL","Python, SQL",63000,0,42000,46000,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,600
25/11/2020 17:08:54,31,Male,Frankfurt,Data Scientist,6,6,Senior,python,"Python, AWS, Docker",60000,15000,,,30,Full-time employee,Unlimited contract,English,51-100,Consulting / Agency,No,,
25/11/2020 17:09:19,31,Male,Paris,Mobile Developer,8,0,Senior,Swift,Swift,60000,6000,60000,6000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,0
25/11/2020 17:11:50,28,Male,Cologne,Backend Developer,4,4,Middle,Java,Pl/sql,44000,6000,44000,6000,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,,
25/11/2020 17:13:52,28,Female,Berlin,Frontend Developer,3,3,Middle,JavaScript,,54500,,52000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,
25/11/2020 17:20:37,27,Male,Berlin,Software Engineer,2,1,Lead,DWH,SQL,90000,7000,97000,87000,31,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25/11/2020 17:20:50,29,Male,Berlin,Frontend Developer,8,5,Head,JavaScript,"Kubernetes, Docker",82500,0,65000,0,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25/11/2020 17:45:05,32,Female,Munich,Data Engineer,10,2,Middle,Python,"Python, SQL, AWS, Docker, Spark, Airflow",75000,0,70000,0,27,Full-time employee,Unlimited contract,English,11-50,Startup,Yes,,0
25/11/2020 17:45:21,28,Male,Berlin,QA Engineer,5,1,Middle,QA,Python,60000,0,58000,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
25/11/2020 17:46:23,34,Female,Berlin,,13,3,Principal,python,"AWS, Terraform, Scala Spark, ",108000,,90000,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,30,500
25/11/2020 17:48:02,38,Male,Dublin ,Mobile Developer,16,0,Senior,Swift,"Swift, Java / Scala",85000,0,85000,85000,24,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
25/11/2020 17:48:12,29,Male,Berlin,Data Engineer,3,3,Middle,Azure,"Python, SQL, Azure",54000,6000,45000,0,30,Full-time employee,Unlimited contract,German,1000+,Utilities,No,0,0
25/11/2020 17:49:56,30,Male,Stockholm,Backend Developer,7,2.5,Senior,C++,"Python, C/C++, Java / Scala, AWS, Kubernetes, Docker",65000,9000,60000,9000,33,Full-time employee,Unlimited contract,English,1000+,Product,No,0,0
25/11/2020 17:58:39,33,Female,Berlin,Designer (UI/UX),6,1,Middle,"Sketch, Figma",,42000,0,,,28,Full-time employee,Unlimited contract,English,51-100,Product,Yes,,
25/11/2020 18:00:44,30,Male,Paderborn,Data Scientist,6,2,Junior,Python,"Python, SQL, Docker",51000,4250,,,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,,
25/11/2020 18:02:06,31,Male,Berlin,Product Manager,5,3,Lead,n/a,,76000,20000,760000,20000,28,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
25/11/2020 18:04:21,37,Male,Berlin,Mobile Developer,16,2,Senior,iOS,"Kotlin, C/C++, Swift, Ruby",65000,0,55000,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,0
25/11/2020 18:12:52,32,Male,Amsterdam,Mobile Developer,13,,Senior,Kotlin,Kotlin,85000,89000,80000,84000,27,Full-time employee,Unlimited contract,English,1000+,Bank,No,,
25/11/2020 18:15:28,32,Female,Munich,QA Engineer,9,9,Middle,,,60000,,,,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,,500
25/11/2020 18:19:22,40,Male,Berlin,Product Manager,13,9,Head,,SQL,90000,10000,75000,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,300
25/11/2020 18:19:58,30,Male,Berlin,Software Engineer,7,1,Senior,Java,"Go, AWS, Kubernetes",86000,,82600,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,500
25/11/2020 18:24:15,30,Male,Berlin,Software Engineer,8,2,Senior,JS,,60000,0,60000,0,~25,Full-time employee,Unlimited contract,English,51-100,Product,No,20,0
25/11/2020 18:28:01,32,Male,Berlin,QA Engineer,10,3,Senior,js,"Java / Scala, Google Cloud, Docker",81000,45000,81000,22000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,0,1000
25/11/2020 18:28:01,32,Male,Cologne,DevOps,7,2,Middle,k8s,"Python, Google Cloud, Kubernetes, Docker",60000,,70000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,Yes,,
25/11/2020 18:31:48,34,Male,Munich,Software Engineer,12,8,Senior,Java,"Java / Scala, SQL, Go, Google Cloud, Kubernetes, Docker",74000,0,69000,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,32,0
25/11/2020 18:45:41,43,Male,Cologne,Backend Developer,10,7,Senior,Php,PHP,57600,8000,57600,55000,26,Full-time employee,Unlimited contract,German,101-1000,Product,No,,
25/11/2020 18:49:08,33,Male,Munich,Software Engineer,13,4,Senior,Java,"Python, Kotlin, Javascript / Typescript, AWS, Kubernetes, Docker",70000,,64000,,24,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
25/11/2020 18:51:20,28,Female,Munich,QA Engineer,8,4,Senior,Kotlin,"Kotlin, Java / Scala, AWS, Kubernetes, Docker",75000,0,64000,6000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
25/11/2020 18:51:36,33,Male,Hamburg,Software Engineer,11,5,Senior,Java,"Python, SQL",65000,,,,28,Full-time employee,Unlimited contract,English,11-50,Product,No,0,0
25/11/2020 18:53:10,33,Male,Munich,Software Engineer,11,4,Lead,"Frontend: react, node.js","Javascript / Typescript, AWS, Kubernetes, Docker",90000,,75000,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25/11/2020 18:56:02,51,Male,Berlin,Software Engineer,30,30,Senior,"VB, RPA, Python","Python, PHP, Javascript / Typescript, .NET, SQL, SAP / ABAP",60000,5000,50000,5000,30,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,,
25/11/2020 18:57:32,35,Male,Berlin,Software Engineer,8,5,Senior,Go,"Java / Scala, Go, AWS, Google Cloud, Azure, Kubernetes, Docker",90000,100000,85000,50000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25/11/2020 18:58:56,35,Male,Berlin,Software Engineer,1,1,Junior,FBD,"PHP, Javascript / Typescript, SQL",30000,,,,26,Full-time employee,Unlimited contract,German,up to 10,Product,No,,
25/11/2020 18:59:36,33,Male,Berlin,ML Engineer,10,6,Senior,,"Python, Java / Scala",90000,,,,,Full-time employee,Unlimited contract,English,1000+,Product,,,
25/11/2020 19:02:12,28,Male,Munich,Software Engineer,6,3,Middle,"C, C++","C/C++, Linux Kernel",64000,9000,,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
25/11/2020 19:02:20,21,Female,Cologne,Mobile Developer,2,2,Middle,,,50000,,,,,,,,,,,,
25/11/2020 19:02:43,25,Male,Berlin,Mobile Developer,2,2,Middle,"Swift, Objective-C, iOS",Swift,44000,,43000,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25/11/2020 19:06:21,25,Female,Hamburg,working student (QA),1,1,Student,Ruby,"Java / Scala, SQL",12000,0,12000,0,12,working student,Temporary contract,English,1000+,Product,No,,
25/11/2020 19:10:04,32,Male,Berlin,Backend Developer,10,3,Lead,Ruby,"Python, Javascript / Typescript, Ruby, SQL, AWS, Docker",80000,0,68500,0,28,Full-time employee,Unlimited contract,English,51-100,Product,No,,
25/11/2020 19:15:16,32,Male,Berlin,Software Engineer,9,3,Lead,Embedded,"Python, C/C++, Go",73000,1000,65000,1000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,300
25/11/2020 19:31:47,26,Male,Berlin,Architect ,9,4,Head,Go,"Kotlin, Ruby, Go, Rust, AWS, Kubernetes, Docker",120000,50000,95000,40000,24,Full-time employee,Unlimited contract,English,1000+,Product,Yes,0,No
25/11/2020 19:33:52,25,Male,Berlin,Software Engineer,6,3,Senior,JavaScript / TypeScript,"AWS, Docker",71750,6000,66000,5500,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25/11/2020 19:38:20,27,Female,Berlin,Backend Developer,5,"2,5",Middle,Kotlin,"Python, Kotlin, Java / Scala, Google Cloud, Kubernetes",65000,0,52000,0,30,Full-time employee,Unlimited contract,English,51-100,Product,No,,
25/11/2020 19:44:29,28,Male,Frankfurt,Frontend Developer,7,5,Senior,Javascript,"Javascript / Typescript, AWS, Azure, Docker",80000,0,76000,4000,29,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
25/11/2020 19:44:59,32,Female,Munich,QA Engineer,8,1,Senior,Java,"Javascript / Typescript, C#",60000,70000,,,26,Full-time employee,Unlimited contract,English,101-1000,Consulting / Agency,No,,
25/11/2020 19:54:39,28,Male,Karlsruhe,Backend Developer,7,3,Senior,Java,"Kotlin, Javascript / Typescript, AWS, Kubernetes, Docker",66000,3000,66000,76000,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25/11/2020 19:57:23,34,Male,Berlin,Frontend Developer,13,1,Lead,JavaScript,"Javascript / Typescript, SQL, AWS",85000,,,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,no
25/11/2020 20:01:27,35,Male,Konstanz,Data Scientist,10,10,Middle,python,"Python, Azure, Kubernetes",65000,0,65000,0,25,Full-time employee,Unlimited contract,English,51-100,Product,No,0,0
25/11/2020 20:13:33,38,Male,Berlin,Head of Engineering,20,9,Head,Java,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",130000,20000,130000,20000,30,Full-time employee,Unlimited contract,English,1000+,Corporation,Yes,,
25/11/2020 20:15:31,33,Male,Berlin,Backend Developer,9,4,Senior,Java,"Python, Javascript / Typescript, Java / Scala, SQL, Go, AWS, Kubernetes, Docker",81900,102600,,,,Full-time employee,Unlimited contract,English,1000+,Startup,No,,
25/11/2020 20:31:41,36,Male,Berlin,Product Manager,10,2,Senior,,SQL,85000,,80000,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25/11/2020 20:34:33,31,Female,Ulm,QA Engineer,8,3,Middle,Java,Java / Scala,45000,,39000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
25/11/2020 20:41:13,43,Male,Stuttgart,SAP Consultant,20,15,Senior,SAP / ABAP,"SQL, SAP / ABAP",82000,12000,82000,10000,32,Full-time employee,Unlimited contract,German,1000+,Product,No,,
25/11/2020 20:42:52,38,Male,Berlin,Data Scientist,15,2,Head,Python,"Python, SQL, SAP / ABAP, AWS",100000,120000,80000,,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,25,
25/11/2020 20:47:48,35,Male,Munich,DevOps,17,5,Lead,Kubrrnetes,"R, AWS, Google Cloud, Kubernetes, Docker",72000,8000,72500,8000,30,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,8,0
25/11/2020 20:52:29,33,Male,Düsseldorf ,Product Manager,6,"0,5",Senior,,,70000,,,,,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
25/11/2020 20:52:36,33,Male,Düsseldorf ,Product Manager,6,"0,5",Senior,,,70000,,,,,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
25/11/2020 20:52:51,32,Male,Berlin,DevOps,10,1,Middle,python,"Python, SQL, Go, AWS, Google Cloud, Azure, Kubernetes, Docker",62000,0,,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,30,
25/11/2020 21:05:06,43,Male,Berlin,DevOps,21,26,Lead,,"Python, PHP, SQL, Perl, AWS, Google Cloud, Kubernetes, Docker",83000,,75000,,28,Full-time employee,Unlimited contract,German,51-100,Startup,No,,
25/11/2020 21:10:17,37,Male,Stuttgart ,Backend Developer,,,Senior,C#,,70000,,,,30,Full-time employee,Unlimited contract,,,,No,,
25/11/2020 21:19:54,37,Male,Berlin,Mobile Developer,17,1,Senior,Swift,Javascript / Typescript,77000,500,71000,0,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,500
25/11/2020 21:20:37,30,Male,Stuttgart,Software Engineer,8,,Middle,C++,SQL,71000,7100,69000,6900,,Full-time employee,Unlimited contract,English,101-1000,Product,No,,No
25/11/2020 21:48:49,29,Male,Berlin,Mobile Developer,5,4,Senior,iOS,Swift,65000,,58000,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
25/11/2020 22:05:13,41,Male,Berlin,Software Engineer,18,3,Senior,JavaScript,"Javascript / Typescript, AWS, Docker, Node",120000,,92000,,30,Self-employed (freelancer),,English,up to 10,Startup,No,,
25/11/2020 22:11:45,38,Male,Stuttgart ,Backend Developer,4,2,Middle,PHP,"Javascript / Typescript, SQL, Docker",43000,0,43000,0,30,Full-time employee,Unlimited contract,English,up to 10,Consulting / Agency,No,30,
25/11/2020 22:18:59,,Male,Frankfurt,Software Engineer,18,1,Senior,,"Javascript / Typescript, .NET, SQL, Google Cloud",81000,3375,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,0,0
25/11/2020 22:40:29,29,Male,Düsseldorf,Frontend Developer,6,6,Middle,TypeScript,"Javascript / Typescript, Azure",55000,0,,,30,Full-time employee,Unlimited contract,German,11-50,Product,No,,
25/11/2020 23:01:28,35,Male,Berlin,QA Engineer,12,3,Senior,JS,"Javascript / Typescript, SQL",63000,,56000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,Yes,30,
25/11/2020 23:03:43,41,Male,Munich,Software Engineer,19,5,Senior,Java,"PHP, Java / Scala, SQL, AWS, Docker",75000,0,73000,0,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
25/11/2020 23:04:36,29,Male,Barcelona,Data Scientist,0,0,Junior,Python,"R, SQL",22000,2000,11000,500,22,Full-time employee,Unlimited contract,English,51-100,Product,No,,
25/11/2020 23:08:40,26,Female,Dusseldorf,BI Consultant SAP/ Data Engineer,5,5,Middle,ABAP,"Python, SQL",65000,77000,46000,50000,30,Full-time employee,Unlimited contract,German,up to 10,Startup,No,,
25/11/2020 23:20:02,32,Male,Paris,DevOps,12,3,Senior,,,62000,,,,,Full-time employee,,English,1000+,,,,
25/11/2020 23:30:07,30,Male,Berlin,Data Engineer,6,1,Middle,Python,AWS,65000,1000,,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,600
25/11/2020 23:32:29,26,Male,London,DevOps,3,0,Middle,"networking, linux, automation, cloud","Python, AWS",37000,,,,25,Full-time employee,Unlimited contract,English,51-100,Product,No,,
25/11/2020 23:42:47,35,Female,Munich,Backend Developer,4,4,Middle,PHP,"PHP, Javascript / Typescript, Java / Scala",51000,4000,47000,3500,30,Full-time employee,Unlimited contract,German,101-1000,Insurance,No,,
25/11/2020 23:51:01,47,Male,Bölingen,Software Engineer,25,15,"no idea, there are no ranges in the firm ",java,"Java / Scala, SQL",70000,depends,,,30,Full-time employee,Unlimited contract,German,11-50,Consulting / Agency,No,,
25/11/2020 23:57:50,33,Male,Berlin,Backend Developer,10,10,Head,,,93000,,,,,Full-time employee,,English,101-1000,Startup,No,,200
26/11/2020 00:00:46,44,Male,Kyiv,Business Analyst,15,0,Head,UML,,60000,0,,,30,Self-employed (freelancer),Unlimited contract,English,101-1000,Consulting / Agency,No,,
26/11/2020 00:06:33,40,,Berlin,Backend Developer,13,13,Senior,python,"Python, Javascript / Typescript, AWS, Docker",72000,,72000,0,30,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
26/11/2020 00:16:00,32,Male,Berlin,Frontend Developer,13,2,Senior,JavaScript,"PHP, Javascript / Typescript",70000,1000,65000,1000,25,Full-time employee,Unlimited contract,English,11-50,Product,No,,0
26/11/2020 04:00:49,33,Male,Dusseldorf,Data Scientist,2,2,Lead,Spark,"Python, Docker",70000,6000,60000,66000,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,1000
26/11/2020 04:00:56,32,Male,Munich,Frontend Developer,8,2,Senior,"Js, reactJS ","Javascript / Typescript, AWS",65000,5000,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,30,
26/11/2020 04:18:01,26,Male,Berlin,Data Engineer,4,3,Middle,Scala,"Python, Java / Scala, SQL, AWS, Google Cloud, Azure",51000,,46000,,30,Full-time employee,Unlimited contract,English,11-50,Consulting / Agency,No,,0
26/11/2020 04:26:30,,Male,Berlin,DevOps,10,5,Senior,,"Python, Go",90000,,80000,,,Full-time employee,Unlimited contract,English,1000+,Product,No,,
26/11/2020 05:53:19,22,Diverse,Cologne,QA Engineer,1,1,Head,Cobol,Perl,159000,35000,98000,23000,45,Full-time employee,Unlimited contract,German,1000+,Product,No,30,2000
26/11/2020 06:01:22,43,Male,Berlin,Engineering Manager,20,20,Lead,Java,"C/C++, .NET, Java / Scala, AWS, Kubernetes, Docker",105000,0,105000,0,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
26/11/2020 07:06:11,33,Male,Munich,Software Engineer,11,6,Senior,JavaScript ,".NET, SQL",80000,,,64000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,600
26/11/2020 07:14:19,35,Female,Frankfurt,Software Engineer,1,1,Junior,ABAP,"SQL, SAP / ABAP",50000,0,50000,0,30,Full-time employee,Unlimited contract,German,51-100,Consulting / Agency,No,0,0
26/11/2020 08:04:52,28,Male,Munich,Frontend Developer,5,5,Middle,JavaScript,"Python, Javascript / Typescript, SQL, Rust, AWS, Kubernetes, Docker",72000,,62000,6200,28,Full-time employee,Unlimited contract,German,11-50,Product,No,,
26/11/2020 08:35:29,36,Male,Munich,DevOps,16,0,Senior,SRE,"Python, C/C++, Go",105000,150000,,,30,Full-time employee,Unlimited contract,English,1000+,Product,Yes,,900
26/11/2020 08:37:49,27,Male,Munich,Data Engineer,2,0,Junior,Python ,"Python, SQL, AWS, Azure, Docker",49000,5000,,,30,Full-time employee,Unlimited contract,German,11-50,Consulting / Agency,No,,
26/11/2020 08:39:28,36,Male,Berlin,Backend Developer,4,1,Middle,Java,"Python, SQL, Kubernetes, Docker",55000,0,55000,0,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,20,
26/11/2020 08:40:22,38,Male,Berlin,Backend Developer,5,1,Middle,Java,"Kotlin, Java / Scala, Google Cloud, Kubernetes, Docker",66000,0,60000,60000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
26/11/2020 08:40:41,28,Male,Berlin,Mobile Developer,6,1,Middle,Android,"Kotlin, Java / Scala",85000,10000,,,32,Full-time employee,Unlimited contract,English,1000+,Product,No,,440
26/11/2020 08:41:29,25,Male,Berlin,Mobile Developer,8,0,Senior,Clojure,"Swift, Javascript / Typescript, Java / Scala, Clojure",85000,10000,,,24,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
26/11/2020 08:42:09,30,Male,Berlin,Frontend Developer,6,1,Senior,Javascript,"Python, Javascript / Typescript, SQL, SAP / ABAP",79000,10000,77000,0,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,700
26/11/2020 08:46:32,42,Female,Berlin,QA Engineer,10,3,Middle,"JS, WDIO","Javascript / Typescript, SQL, Docker",42000,0,32000,0,,Full-time employee,Unlimited contract,English,11-50,Startup,No,0,75% from government 
26/11/2020 09:02:41,30,Male,Berlin,Backend Developer,8,2,Middle,Python,"SQL, AWS, Kubernetes, Docker",74000,11000,72000,5000,27,Full-time employee,Unlimited contract,English,1000+,Product,No,0,40 every month
26/11/2020 09:09:03,28,Male,Berlin,Backend Developer,8,1,Lead,Ruby,"SQL, AWS",67000,,62000,,28,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
26/11/2020 09:13:05,32,Female,Berlin,DevOps,9,5,Middle,"Terraform, Kubernetes, AWS, GCP, Ansible, Puppet","Ruby, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",74000,10000,65000,,40,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,0
26/11/2020 09:20:23,29,Male,Berlin,Frontend Developer,3,0,Middle,JavaScript ,PHP,48000,0,,,26,Full-time employee,Unlimited contract,English,51-100,Consulting / Agency,No,0,0
