Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Gender,Age,Claim
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,14.95,3.74,M,31,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,85,UNITED KINGDOM,19.8,11.88,,45,0
EPX,Travel Agency,Online,Cancellation Plan,17,INDIA,42.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,AUSTRALIA,39.6,23.76,,31,0
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,252.85,63.21,F,47,1
SSI,Airlines,Online,Ticket Protector,21,SINGAPORE,9.83,2.76,,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,41,GERMANY,108.9,65.34,,36,0
ART,Airlines,Online,Value Plan,107,CHINA,81.0,28.35,F,42,0
C2B,Airlines,Online,Bronze Plan,32,SINGAPORE,53.5,13.38,F,58,1
EPX,Travel Agency,Online,Cancellation Plan,16,INDONESIA,11.0,0.0,,30,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,26,MALAYSIA,39.6,23.76,,31,0
EPX,Travel Agency,Online,Cancellation Plan,108,INDIA,15.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,3,MALAYSIA,18.0,6.3,M,44,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,UNITED KINGDOM,110.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,84,PHILIPPINES,55.0,0.0,,45,0
C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,23.0,5.75,F,53,0
EPX,Travel Agency,Online,Cancellation Plan,36,MALAYSIA,10.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,36,INDIA,35.0,12.25,F,44,0
EPX,Travel Agency,Online,Cancellation Plan,16,UNITED STATES,80.0,0.0,,55,0
SSI,Airlines,Online,Ticket Protector,6,SINGAPORE,1.35,0.38,,48,0
JZI,Airlines,Online,Basic Plan,32,THAILAND,22.0,7.7,F,30,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,THAILAND,39.6,23.76,,58,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,156,UNITED STATES,112.0,0.0,,54,0
RAB,Airlines,Online,Value Plan,13,BRUNEI DARUSSALAM,15.0,6.0,,69,0
EPX,Travel Agency,Online,Cancellation Plan,30,CHINA,39.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,6,MALAYSIA,10.0,0.0,,34,0
EPX,Travel Agency,Online,Cancellation Plan,65,"KOREA, REPUBLIC OF",39.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,24,SINGAPORE,43.0,0.0,,35,0
EPX,Travel Agency,Online,Cancellation Plan,15,UNITED STATES,19.0,0.0,,32,0
EPX,Travel Agency,Online,Cancellation Plan,8,"TAIWAN, PROVINCE OF CHINA",23.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,10,BANGLADESH,26.0,9.1,M,69,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,68,"KOREA, REPUBLIC OF",35.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,60,CHINA,35.0,12.25,F,48,0
JZI,Airlines,Online,Basic Plan,3,THAILAND,18.0,6.3,M,35,0
RAB,Airlines,Online,Value Plan,19,BRUNEI DARUSSALAM,15.0,6.0,,54,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,141,MALAYSIA,29.7,17.82,,33,0
EPX,Travel Agency,Online,Cancellation Plan,20,PHILIPPINES,24.0,0.0,,36,0
JZI,Airlines,Online,Value Plan,39,THAILAND,26.0,9.1,M,62,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,49,VIET NAM,20.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,35,PHILIPPINES,37.0,12.95,F,38,0
C2B,Airlines,Online,Silver Plan,22,SINGAPORE,18.5,4.63,F,32,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,54,AUSTRALIA,48.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,35,SINGAPORE,89.0,22.25,M,29,0
EPX,Travel Agency,Online,Cancellation Plan,56,"TAIWAN, PROVINCE OF CHINA",15.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,15,SINGAPORE,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,57,LAO PEOPLE'S DEMOCRATIC REPUBLIC,20.0,0.0,,35,0
EPX,Travel Agency,Online,Cancellation Plan,27,VIET NAM,12.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,81,JAPAN,22.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,2,MALAYSIA,0.0,5.94,,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,35,PHILIPPINES,38.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,101,SPAIN,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,1,SINGAPORE,13.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,23,CHINA,30.0,0.0,,36,0
SSI,Airlines,Online,Ticket Protector,44,SINGAPORE,11.24,3.15,,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,THAILAND,29.7,17.82,,43,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69,AUSTRALIA,59.4,35.64,,40,0
EPX,Travel Agency,Online,Cancellation Plan,55,PHILIPPINES,12.0,0.0,,35,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,12,INDONESIA,20.0,0.0,,45,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,13,CHINA,24.0,0.0,,35,0
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,27.0,6.75,F,32,0
JZI,Airlines,Online,Value Plan,74,"KOREA, REPUBLIC OF",83.0,29.05,M,36,0
EPX,Travel Agency,Online,Cancellation Plan,19,SPAIN,75.0,0.0,,36,0
CCR,Travel Agency,Offline,Comprehensive Plan,10,MALAYSIA,29.0,9.57,M,42,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,4,THAILAND,20.0,0.0,,25,0
C2B,Airlines,Online,Bronze Plan,28,SINGAPORE,33.5,8.38,F,30,0
EPX,Travel Agency,Online,Cancellation Plan,203,SINGAPORE,11.0,0.0,,36,0
RAB,Airlines,Online,Value Plan,25,BRUNEI DARUSSALAM,15.0,6.0,M,67,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,97,CHINA,41.0,0.0,,36,1
RAB,Airlines,Online,Value Plan,0,BRUNEI DARUSSALAM,15.0,6.0,M,38,0
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,47.0,11.75,M,25,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,29,CAMBODIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,7,AUSTRALIA,69.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,THAILAND,34.0,0.0,,67,0
EPX,Travel Agency,Online,Cancellation Plan,13,CHINA,13.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,14,MALAYSIA,22.0,7.7,M,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,5,SINGAPORE,20.0,0.0,,35,0
EPX,Travel Agency,Online,Cancellation Plan,255,JAPAN,46.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,19,THAILAND,37.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,55,MALAYSIA,39.6,23.76,,39,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,35,INDIA,27.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,30,VIET NAM,16.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,26,UNITED STATES,106.0,0.0,,44,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,CHINA,54.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,AUSTRALIA,74.0,0.0,,36,0
C2B,Airlines,Online,Annual Silver Plan,390,SINGAPORE,216.0,54.0,F,33,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,41,UNITED STATES,112.0,0.0,,45,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,32,"KOREA, REPUBLIC OF",0.0,41.58,,26,0
EPX,Travel Agency,Online,Cancellation Plan,50,THAILAND,10.0,0.0,,27,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,149,AUSTRALIA,59.4,35.64,,40,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,26,JAPAN,104.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,8,MALAYSIA,10.0,0.0,,40,0
C2B,Airlines,Online,Annual Silver Plan,382,SINGAPORE,216.0,54.0,F,32,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,PHILIPPINES,35.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,20,CHINA,34.0,0.0,,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,JAPAN,53.0,0.0,,45,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,MALAYSIA,20.0,0.0,,57,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,15,MALAYSIA,39.6,23.76,,39,0
SSI,Airlines,Online,Ticket Protector,144,SINGAPORE,13.12,3.68,,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,66,CHINA,30.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,38,UNITED KINGDOM,49.5,29.7,,25,1
EPX,Travel Agency,Online,1 way Comprehensive Plan,31,SINGAPORE,58.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,25,HONG KONG,26.0,9.1,M,46,0
EPX,Travel Agency,Online,Cancellation Plan,72,INDIA,24.0,0.0,,21,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,9,MALAYSIA,20.0,0.0,,50,0
SSI,Airlines,Online,Ticket Protector,28,SINGAPORE,4.44,1.25,,48,0
C2B,Airlines,Online,Bronze Plan,67,SINGAPORE,21.0,5.25,F,38,1
EPX,Travel Agency,Online,Cancellation Plan,5,THAILAND,10.0,0.0,,21,0
EPX,Travel Agency,Online,Cancellation Plan,7,MALAYSIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,31,CHINA,39.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,3,SINGAPORE,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,116,CHINA,36.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,PHILIPPINES,20.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,M,40,0
TTW,Travel Agency,Offline,Spouse or Parents Comprehensive Plan,364,SINGAPORE,86.0,0.0,F,34,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,6,CAMBODIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,VIET NAM,20.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,11,INDONESIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,49,UNITED ARAB EMIRATES,58.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,MALAYSIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,60,JAPAN,107.0,0.0,,29,0
EPX,Travel Agency,Online,Cancellation Plan,49,SWEDEN,40.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,66,SINGAPORE,23.5,5.88,F,40,0
EPX,Travel Agency,Online,Cancellation Plan,24,PHILIPPINES,10.0,0.0,,42,0
SSI,Airlines,Online,Ticket Protector,19,SINGAPORE,5.8,1.63,,48,0
EPX,Travel Agency,Online,Cancellation Plan,9,INDIA,10.0,0.0,,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,THAILAND,29.7,17.82,,49,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,42,UNITED ARAB EMIRATES,69.3,41.58,,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,83,THAILAND,-79.2,47.52,,22,0
TST,Travel Agency,Offline,Travel Cruise Protect,23,THAILAND,30.0,10.5,M,52,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,4,SINGAPORE,41.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,39,CHINA,44.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,PHILIPPINES,38.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,19,SWITZERLAND,80.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,79,JAPAN,47.0,0.0,,36,0
C2B,Airlines,Online,Gold Plan,13,SINGAPORE,88.0,22.0,M,41,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,MALAYSIA,19.8,11.88,,26,0
EPX,Travel Agency,Online,Cancellation Plan,40,PHILIPPINES,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,34,MALAYSIA,10.0,0.0,,45,0
C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,16.0,4.0,F,48,0
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,29.0,7.25,F,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,"KOREA, REPUBLIC OF",31.0,0.0,,27,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,151,AUSTRALIA,37.0,0.0,,24,0
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,29.5,7.38,F,28,0
C2B,Airlines,Online,Silver Plan,47,SINGAPORE,127.0,31.75,F,24,0
EPX,Travel Agency,Online,Cancellation Plan,3,INDONESIA,50.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,168,"KOREA, REPUBLIC OF",34.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,66,FRANCE,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,51,POLAND,80.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,AUSTRALIA,9.9,5.94,,31,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,ITALY,79.2,47.52,,31,0
EPX,Travel Agency,Online,Cancellation Plan,1,THAILAND,10.0,0.0,,58,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,3,MALAYSIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,THAILAND,20.0,0.0,,55,0
EPX,Travel Agency,Online,Cancellation Plan,15,GERMANY,80.0,0.0,,36,0
RAB,Airlines,Online,Value Plan,2,BRUNEI DARUSSALAM,15.0,6.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,21,MALAYSIA,10.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,38,SINGAPORE,20.0,0.0,,56,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,120,SRI LANKA,30.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,CHINA,50.0,0.0,,36,0
JZI,Airlines,Online,Value Plan,56,CHINA,45.0,15.75,M,23,0
C2B,Airlines,Online,Bronze Plan,29,SINGAPORE,17.55,4.39,F,23,0
JZI,Airlines,Online,Basic Plan,9,CHINA,26.0,9.1,M,46,0
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,47.5,11.88,F,35,0
EPX,Travel Agency,Online,Cancellation Plan,2,MALAYSIA,10.0,0.0,,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,165,AUSTRALIA,-59.4,35.64,,32,0
C2B,Airlines,Online,Annual Silver Plan,370,SINGAPORE,216.0,54.0,M,33,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,33,INDIA,20.0,0.0,,30,0
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,19.5,4.88,F,63,0
JZI,Airlines,Online,Basic Plan,22,CHINA,40.0,14.0,M,25,0
EPX,Travel Agency,Online,Cancellation Plan,104,SINGAPORE,128.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,PHILIPPINES,26.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,31.85,7.96,M,9,0
EPX,Travel Agency,Online,Cancellation Plan,2,SINGAPORE,10.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,11,VIET NAM,10.0,0.0,,34,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,77,PHILIPPINES,22.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,113,UNITED STATES,38.0,0.0,,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,275,JAPAN,79.2,47.52,,51,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,5,CAMBODIA,20.0,0.0,,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,THAILAND,39.6,23.76,,46,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,153,NEW ZEALAND,96.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,39,"KOREA, REPUBLIC OF",44.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,29,THAILAND,27.0,0.0,,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,2,MALAYSIA,9.9,5.94,,49,0
EPX,Travel Agency,Online,Cancellation Plan,18,INDONESIA,18.0,0.0,,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,THAILAND,59.4,35.64,,32,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,162,THAILAND,112.0,0.0,,46,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,59,MALAYSIA,19.8,11.88,,38,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,60,PHILIPPINES,20.0,0.0,,36,0
KML,Travel Agency,Online,Premier Plan,33,FRANCE,111.0,42.18,M,48,0
EPX,Travel Agency,Online,Cancellation Plan,3,THAILAND,12.0,0.0,,33,0
EPX,Travel Agency,Online,Cancellation Plan,86,HONG KONG,11.0,0.0,,21,0
EPX,Travel Agency,Online,Cancellation Plan,55,INDONESIA,10.0,0.0,,27,0
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,17.0,4.25,F,31,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,34,AUSTRALIA,59.4,35.64,,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,62,FRANCE,91.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,6,THAILAND,20.0,0.0,,30,0
EPX,Travel Agency,Online,Cancellation Plan,16,VIET NAM,42.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,MALAYSIA,20.0,0.0,,51,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,28,INDONESIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,58,SINGAPORE,80.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,30,UNITED STATES,67.0,0.0,,46,0
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,23.5,5.88,F,28,0
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,21.0,5.25,F,24,0
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,27.0,6.75,M,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,79,"TAIWAN, PROVINCE OF CHINA",25.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,56,CHINA,11.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,32,AUSTRALIA,42.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,ITALY,39.6,23.76,,31,0
EPX,Travel Agency,Online,Cancellation Plan,30,NEW ZEALAND,0.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,20,UNITED ARAB EMIRATES,80.0,0.0,,36,0
SSI,Airlines,Online,Ticket Protector,71,SINGAPORE,3.34,0.94,,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,22,UNITED STATES,112.0,0.0,,33,0
JZI,Airlines,Online,Basic Plan,36,THAILAND,30.0,10.5,M,32,0
EPX,Travel Agency,Online,Cancellation Plan,91,THAILAND,10.0,0.0,,36,0
RAB,Airlines,Online,Value Plan,4,BRUNEI DARUSSALAM,15.0,6.0,M,45,0
EPX,Travel Agency,Online,Cancellation Plan,7,SINGAPORE,10.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,HONG KONG,35.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,MALAYSIA,39.6,23.76,,42,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,169,ITALY,-118.8,71.28,,37,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,1,MALAYSIA,20.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,80,SOUTH AFRICA,0.0,17.82,,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,61,"KOREA, REPUBLIC OF",67.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,35,VIET NAM,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,17,AUSTRALIA,67.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,25,CAMBODIA,63.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,278,CANADA,71.0,0.0,,31,0
EPX,Travel Agency,Online,Cancellation Plan,69,CHINA,19.0,0.0,,36,0
KML,Travel Agency,Online,Value Plan,5,INDONESIA,28.0,10.64,M,48,0
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,13.5,3.38,M,59,0
C2B,Airlines,Online,Bronze Plan,26,SINGAPORE,71.0,17.75,F,26,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,232,FRANCE,112.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,16,UNITED STATES,80.0,0.0,,38,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,47,CAMBODIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,72,AUSTRALIA,58.0,0.0,,29,0
EPX,Travel Agency,Online,Cancellation Plan,22,ITALY,16.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,3,MALAYSIA,20.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,45,CHINA,0.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,THAILAND,39.6,23.76,,50,1
EPX,Travel Agency,Online,Cancellation Plan,16,INDONESIA,10.0,0.0,,33,0
EPX,Travel Agency,Online,Cancellation Plan,21,UNITED STATES,48.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,63,SINGAPORE,137.0,34.25,F,28,0
TST,Travel Agency,Offline,Travel Cruise Protect,16,MALAYSIA,30.0,10.5,F,59,0
EPX,Travel Agency,Online,Cancellation Plan,1,CAMBODIA,10.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,CHINA,39.0,0.0,,36,0
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,25,INDONESIA,32.25,20.96,M,29,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,MALAYSIA,19.8,11.88,,29,0
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,13.5,3.38,M,25,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,74,UNITED KINGDOM,20.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,268,"KOREA, REPUBLIC OF",39.6,23.76,,37,0
C2B,Airlines,Online,Bronze Plan,28,SINGAPORE,34.0,8.5,M,30,0
EPX,Travel Agency,Online,Cancellation Plan,83,"KOREA, REPUBLIC OF",28.0,0.0,,36,0
JWT,Airlines,Online,Value Plan,18,INDIA,31.0,12.4,F,118,0
EPX,Travel Agency,Online,Cancellation Plan,6,INDONESIA,10.0,0.0,,45,0
EPX,Travel Agency,Online,Cancellation Plan,23,THAILAND,10.0,0.0,,40,0
EPX,Travel Agency,Online,Cancellation Plan,4,CHINA,20.0,0.0,,36,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,1,THAILAND,20.0,0.0,,36,0
LWC,Travel Agency,Online,Annual Travel Protect Platinum,382,UNITED STATES,323.4,210.21,M,38,0
JZI,Airlines,Online,Basic Plan,3,CHINA,22.0,7.7,M,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,36,SINGAPORE,20.0,0.0,,37,0
EPX,Travel Agency,Online,Cancellation Plan,82,SINGAPORE,26.0,0.0,,36,0
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,19.2,4.8,F,22,0
C2B,Airlines,Online,Annual Gold Plan,386,SINGAPORE,399.6,99.9,F,34,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,MALAYSIA,29.7,17.82,,56,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,8,HONG KONG,20.0,0.0,,39,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,17,THAILAND,20.0,0.0,,40,0
JZI,Airlines,Online,Basic Plan,103,"KOREA, REPUBLIC OF",26.0,9.1,F,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,128,AUSTRALIA,0.0,53.46,,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,36,THAILAND,29.7,17.82,,37,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,4,HONG KONG,20.0,0.0,,49,0
EPX,Travel Agency,Online,Cancellation Plan,15,CAMBODIA,19.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,37,JAPAN,40.0,0.0,,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,THAILAND,29.7,17.82,,26,1
EPX,Travel Agency,Online,Cancellation Plan,96,JAPAN,14.0,0.0,,23,0
SSI,Airlines,Online,Ticket Protector,76,SINGAPORE,2.47,0.69,,48,0
EPX,Travel Agency,Online,Cancellation Plan,12,THAILAND,17.0,0.0,,32,0
EPX,Travel Agency,Online,Cancellation Plan,2,MALAYSIA,12.0,0.0,,36,0
C2B,Airlines,Online,Silver Plan,54,SINGAPORE,116.5,29.13,F,37,0
EPX,Travel Agency,Online,Cancellation Plan,9,CHINA,44.0,0.0,,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,14,THAILAND,20.0,0.0,,29,0
C2B,Airlines,Online,Annual Silver Plan,403,SINGAPORE,-216.75,54.19,M,47,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,9,MALAYSIA,20.0,0.0,,36,0
JZI,Airlines,Online,Basic Plan,5,HONG KONG,26.0,9.1,M,64,0
JZI,Airlines,Online,Basic Plan,26,CHINA,22.0,7.7,F,24,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,25,JAPAN,39.6,23.76,,61,0
JZI,Airlines,Online,Basic Plan,16,HONG KONG,35.0,12.25,M,72,0
EPX,Travel Agency,Online,1 way Comprehensive Plan,12,HONG KONG,20.0,0.0,,36,0
CSR,Travel Agency,Offline,Comprehensive Plan,87,THAILAND,29.0,9.57,F,72,0
JZI,Airlines,Online,Basic Plan,8,INDONESIA,30.0,10.5,F,36,0
EPX,Travel Agency,Online,Cancellation Plan,34,SINGAPORE,21.0,0.0,,45,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,63,UNITED KINGDOM,39.6,23.76,,38,0
EPX,Travel Agency,Online,Cancellation Plan,26,THAILAND,54.0,0.0,,36,0
EPX,Travel Agency,Online,Cancellation Plan,6,"TAIWAN, PROVINCE OF CHINA",27.0,0.0,,36,0
